"","cbsa_name","cbsa_code","tech_name","lq","div","ubi","KCI","TCI"
"1","San Francisco-Oakland-Berkeley, CA","41860"," gpu",4.90961857379768,158,1,83.2394866128279,158
"2","San Francisco-Oakland-Berkeley, CA","41860"," bioinformatics",3.68221393034826,158,3,83.2394866128279,108.333333333333
"3","San Francisco-Oakland-Berkeley, CA","41860"," credit cards",3.50687040985548,158,3,83.2394866128279,121
"4","San Francisco-Oakland-Berkeley, CA","41860"," consumer software",3.27307904919845,158,3,83.2394866128279,122.666666666667
"5","San Francisco-Oakland-Berkeley, CA","41860"," green building",2.94577114427861,158,3,83.2394866128279,95.3333333333333
"6","San Francisco-Oakland-Berkeley, CA","41860"," open source",2.82675008794412,158,8,83.2394866128279,73.25
"7","San Francisco-Oakland-Berkeley, CA","41860"," industrial engineering",2.67797376752601,158,5,83.2394866128279,96.2
"8","San Francisco-Oakland-Berkeley, CA","41860"," productivity tools",2.54572814937657,158,9,83.2394866128279,63.7777777777778
"9","San Francisco-Oakland-Berkeley, CA","41860"," android",2.45480928689884,158,5,83.2394866128279,130.2
"10","San Francisco-Oakland-Berkeley, CA","41860"," e-signature",2.45480928689884,158,3,83.2394866128279,101
"11","San Francisco-Oakland-Berkeley, CA","41860"," indoor positioning",2.45480928689884,158,5,83.2394866128279,75.8
"12","San Francisco-Oakland-Berkeley, CA","41860"," product search",2.45480928689884,158,3,83.2394866128279,114.666666666667
"13","San Francisco-Oakland-Berkeley, CA","41860"," semantic search",2.45480928689884,158,3,83.2394866128279,138.666666666667
"14","San Francisco-Oakland-Berkeley, CA","41860"," video advertising",2.45480928689884,158,3,83.2394866128279,100.666666666667
"15","San Francisco-Oakland-Berkeley, CA","41860"," casual games",2.45480928689884,158,4,83.2394866128279,129
"16","San Francisco-Oakland-Berkeley, CA","41860"," direct sales",2.45480928689884,158,4,83.2394866128279,96
"17","San Francisco-Oakland-Berkeley, CA","41860"," marine technology",2.45480928689884,158,4,83.2394866128279,53.75
"18","San Francisco-Oakland-Berkeley, CA","41860"," quantified self",2.45480928689884,158,4,83.2394866128279,119.5
"19","San Francisco-Oakland-Berkeley, CA","41860"," simulation",2.45480928689884,158,4,83.2394866128279,96
"20","San Francisco-Oakland-Berkeley, CA","41860"," developer tools",2.31843099318224,158,12,83.2394866128279,64.0833333333333
"21","San Francisco-Oakland-Berkeley, CA","41860"," gamification",2.18205269946563,158,5,83.2394866128279,89.4
"22","San Francisco-Oakland-Berkeley, CA","41860"," intelligent systems",2.18205269946563,158,7,83.2394866128279,109
"23","San Francisco-Oakland-Berkeley, CA","41860"," business information systems",2.10412224591329,158,4,83.2394866128279,94
"24","San Francisco-Oakland-Berkeley, CA","41860"," enterprise resource planning (erp)",2.10412224591329,158,5,83.2394866128279,131.4
"25","San Francisco-Oakland-Berkeley, CA","41860"," optical communication",2.10412224591329,158,5,83.2394866128279,135.2
"26","San Francisco-Oakland-Berkeley, CA","41860"," sales",2.04567440574903,158,14,83.2394866128279,52.2857142857143
"27","San Francisco-Oakland-Berkeley, CA","41860"," data center automation",1.96384742951907,158,6,83.2394866128279,100.666666666667
"28","San Francisco-Oakland-Berkeley, CA","41860"," dsp",1.96384742951907,158,2,83.2394866128279,156
"29","San Francisco-Oakland-Berkeley, CA","41860"," motion capture",1.96384742951907,158,4,83.2394866128279,109
"30","San Francisco-Oakland-Berkeley, CA","41860"," presentations",1.96384742951907,158,4,83.2394866128279,90
"31","San Francisco-Oakland-Berkeley, CA","41860"," quantum computing",1.96384742951907,158,4,83.2394866128279,115
"32","San Francisco-Oakland-Berkeley, CA","41860"," reputation",1.96384742951907,158,3,83.2394866128279,131
"33","San Francisco-Oakland-Berkeley, CA","41860"," space travel",1.96384742951907,158,4,83.2394866128279,108.5
"34","San Francisco-Oakland-Berkeley, CA","41860"," social network",1.88831483607603,158,10,83.2394866128279,82.3
"35","San Francisco-Oakland-Berkeley, CA","41860"," corporate training",1.84110696517413,158,5,83.2394866128279,106.2
"36","San Francisco-Oakland-Berkeley, CA","41860"," psychology",1.84110696517413,158,5,83.2394866128279,74.4
"37","San Francisco-Oakland-Berkeley, CA","41860"," cryptocurrency",1.82131011608624,158,14,83.2394866128279,62.0714285714286
"38","San Francisco-Oakland-Berkeley, CA","41860"," file sharing",1.80880684297809,158,8,83.2394866128279,67.5
"39","San Francisco-Oakland-Berkeley, CA","41860"," it management",1.80880684297809,158,6,83.2394866128279,104
"40","San Francisco-Oakland-Berkeley, CA","41860"," developer apis",1.80019347705915,158,13,83.2394866128279,58.9230769230769
"41","San Francisco-Oakland-Berkeley, CA","41860"," 3d technology",1.78531584501734,158,5,83.2394866128279,55.8
"42","San Francisco-Oakland-Berkeley, CA","41860"," bitcoin",1.78531584501734,158,7,83.2394866128279,89.5714285714286
"43","San Francisco-Oakland-Berkeley, CA","41860"," fuel",1.78531584501734,158,6,83.2394866128279,70.6666666666667
"44","San Francisco-Oakland-Berkeley, CA","41860"," sales automation",1.77291781831583,158,14,83.2394866128279,66.9285714285714
"45","San Francisco-Oakland-Berkeley, CA","41860"," email",1.6929719219992,158,11,83.2394866128279,81.1818181818182
"46","San Francisco-Oakland-Berkeley, CA","41860"," crm",1.68329779673063,158,17,83.2394866128279,56.2941176470588
"47","San Francisco-Oakland-Berkeley, CA","41860"," business intelligence",1.67373360470375,158,23,83.2394866128279,42.4347826086956
"48","San Francisco-Oakland-Berkeley, CA","41860"," communications infrastructure",1.63653952459923,158,6,83.2394866128279,78.1666666666667
"49","San Francisco-Oakland-Berkeley, CA","41860"," app marketing",1.63653952459923,158,4,83.2394866128279,108
"50","San Francisco-Oakland-Berkeley, CA","41860"," fleet management",1.63653952459923,158,6,83.2394866128279,92.3333333333333
"51","San Francisco-Oakland-Berkeley, CA","41860"," govtech",1.63653952459923,158,9,83.2394866128279,78.6666666666667
"52","San Francisco-Oakland-Berkeley, CA","41860"," loyalty programs",1.63653952459923,158,9,83.2394866128279,83.5555555555556
"53","San Francisco-Oakland-Berkeley, CA","41860"," meeting software",1.63653952459923,158,4,83.2394866128279,112.25
"54","San Francisco-Oakland-Berkeley, CA","41860"," mining technology",1.63653952459923,158,5,83.2394866128279,73.6
"55","San Francisco-Oakland-Berkeley, CA","41860"," physical security",1.63653952459923,158,4,83.2394866128279,117
"56","San Francisco-Oakland-Berkeley, CA","41860"," product research",1.63653952459923,158,6,83.2394866128279,90.8333333333333
"57","San Francisco-Oakland-Berkeley, CA","41860"," public transportation",1.63653952459923,158,4,83.2394866128279,112.25
"58","San Francisco-Oakland-Berkeley, CA","41860"," scheduling",1.63653952459923,158,6,83.2394866128279,90.3333333333333
"59","San Francisco-Oakland-Berkeley, CA","41860"," skill assessment",1.63653952459923,158,4,83.2394866128279,93
"60","San Francisco-Oakland-Berkeley, CA","41860"," software engineering",1.63653952459923,158,8,83.2394866128279,80.875
"61","San Francisco-Oakland-Berkeley, CA","41860"," speech recognition",1.63653952459923,158,5,83.2394866128279,103.2
"62","San Francisco-Oakland-Berkeley, CA","41860"," machine learning",1.58768759849179,158,29,83.2394866128279,37.2758620689655
