Category Name,Category Name URL,Category Groups,CB Rank
Mechanical Design,https://www.crunchbase.com/category/mechanical-design,"Design, Hardware",
Flash Sale,https://www.crunchbase.com/category/flash-sale,Commerce and Shopping,
Gift,https://www.crunchbase.com/category/gift,Commerce and Shopping,
Education,https://www.crunchbase.com/category/education,Education,
Basketball,https://www.crunchbase.com/category/basketball,Sports,
Brewing,https://www.crunchbase.com/category/brewing,Food and Beverage,
Mobile Advertising,https://www.crunchbase.com/category/mobile-advertising,"Advertising, Sales and Marketing",
Flash Storage,https://www.crunchbase.com/category/flash-storage,Hardware,
Textbook,https://www.crunchbase.com/category/textbook,Education,
Embedded Software,https://www.crunchbase.com/category/embedded-software,Software,
Broadcasting,https://www.crunchbase.com/category/broadcasting,"Media and Entertainment, Video",
Foundries,https://www.crunchbase.com/category/foundries,Manufacturing,
Network Security,https://www.crunchbase.com/category/network-security,"Information Technology, Privacy and Security",
Audio,https://www.crunchbase.com/category/audio,"Media and Entertainment, Music and Audio",
Reservations,https://www.crunchbase.com/category/reservations,"Events, Media and Entertainment",
Millennials,https://www.crunchbase.com/category/millennials,,
Taxi Service,https://www.crunchbase.com/category/taxi-service,Transportation,
Quality Assurance,https://www.crunchbase.com/category/quality-assurance,,
Credit Bureau,https://www.crunchbase.com/category/credit-bureau,Financial Services,
SMS,https://www.crunchbase.com/category/sms,"Internet Services, Messaging and Telecommunications",
Leasing,https://www.crunchbase.com/category/leasing,Financial Services,
Video Editing,https://www.crunchbase.com/category/video-editing,"Content and Publishing, Media and Entertainment, Video",
Elder Care,https://www.crunchbase.com/category/elder-care,Health Care,
Real Time,https://www.crunchbase.com/category/real-time,,
Nuclear,https://www.crunchbase.com/category/nuclear,Science and Engineering,
Pharmaceutical,https://www.crunchbase.com/category/pharmaceutical,Health Care,
Facial Recognition,https://www.crunchbase.com/category/facial-recognition,"Data and Analytics, Software",
Desktop Apps,https://www.crunchbase.com/category/desktop-apps,,
DSP,https://www.crunchbase.com/category/dsp-0be5,Hardware,
Data Integration,https://www.crunchbase.com/category/data-integration-0c4a,"Data and Analytics, Information Technology, Software",
Management Information Systems,https://www.crunchbase.com/category/management-information-systems,Information Technology,
Subscription Service,https://www.crunchbase.com/category/subscription-service,,
